date,1. open,2. high,3. low,4. close,5. volume
2025-02-20 16:01:00,245.83,245.83,245.68,245.8,52109.0
2025-02-20 16:00:00,245.86,245.86,245.637,245.76,9529711.0
2025-02-20 15:59:00,245.93,245.95,245.78,245.86,498487.0
2025-02-20 15:58:00,245.86,245.96,245.84,245.935,248667.0
2025-02-20 15:57:00,245.83,245.9,245.815,245.855,170648.0
2025-02-20 15:56:00,245.8099,245.88,245.76,245.8301,153882.0
2025-02-20 15:55:00,245.87,245.92,245.52,245.81,239746.0
2025-02-20 15:54:00,245.83,245.98,245.65,245.87,229716.0
2025-02-20 15:53:00,245.93,245.93,245.78,245.835,109321.0
2025-02-20 15:52:00,245.87,245.98,245.855,245.94,104369.0
2025-02-20 15:51:00,245.8,245.88,245.71,245.87,123746.0
2025-02-20 15:50:00,245.86,246.0,245.75,245.805,142381.0
2025-02-20 15:49:00,245.82,245.91,245.8,245.87,73905.0
2025-02-20 15:48:00,245.75,245.85,245.73,245.83,79428.0
2025-02-20 15:47:00,245.65,245.76,245.65,245.75,56539.0
2025-02-20 15:46:00,245.62,245.69,245.59,245.65,44567.0
2025-02-20 15:45:00,245.57,245.66,245.47,245.6275,67176.0
2025-02-20 15:44:00,245.575,245.62,245.47,245.57,76619.0
2025-02-20 15:43:00,245.495,245.6,245.36,245.58,78071.0
2025-02-20 15:42:00,245.52,245.555,245.48,245.49,99301.0
2025-02-20 15:41:00,245.485,245.53,245.47,245.515,33775.0
2025-02-20 15:40:00,245.39,245.56,245.36,245.485,67914.0
2025-02-20 15:39:00,245.415,245.46,245.38,245.395,30730.0
2025-02-20 15:38:00,245.505,245.505,245.39,245.41,47111.0
2025-02-20 15:37:00,245.6271,245.65,245.49,245.505,50530.0
2025-02-20 15:36:00,245.575,245.64,245.525,245.6399,42226.0
2025-02-20 15:35:00,245.605,245.6365,245.55,245.575,65051.0
2025-02-20 15:34:00,245.55,245.65,245.53,245.61,45067.0
2025-02-20 15:33:00,245.58,245.585,245.5,245.55,42025.0
2025-02-20 15:32:00,245.525,245.6,245.51,245.6,43441.0
2025-02-20 15:31:00,245.57,245.58,245.48,245.525,54635.0
2025-02-20 15:30:00,245.61,245.62,245.55,245.57,33712.0
2025-02-20 15:29:00,245.525,245.65,245.51,245.61,44462.0
2025-02-20 15:28:00,245.465,245.54,245.45,245.525,48596.0
2025-02-20 15:27:00,245.475,245.4999,245.43,245.47,46867.0
2025-02-20 15:26:00,245.51,245.52,245.47,245.48,33862.0
2025-02-20 15:25:00,245.455,245.53,245.4207,245.515,34852.0
2025-02-20 15:24:00,245.58,245.605,245.445,245.465,54622.0
2025-02-20 15:23:00,245.66,245.66,245.55,245.5842,31279.0
2025-02-20 15:22:00,245.69,245.74,245.645,245.65,43998.0
2025-02-20 15:21:00,245.725,245.74,245.69,245.695,39068.0
2025-02-20 15:20:00,245.625,245.7402,245.61,245.73,35427.0
2025-02-20 15:19:00,245.62,245.72,245.62,245.63,51558.0
2025-02-20 15:18:00,245.29,245.65,245.29,245.64,41937.0
2025-02-20 15:17:00,245.385,245.395,245.2901,245.3,52784.0
2025-02-20 15:16:00,245.505,245.505,245.37,245.385,47426.0
2025-02-20 15:15:00,245.49,245.5395,245.47,245.51,30994.0
2025-02-20 15:14:00,245.63,245.63,245.49,245.49,44285.0
2025-02-20 15:13:00,245.495,245.645,245.48,245.6202,46426.0
2025-02-20 15:12:00,245.485,245.51,245.3601,245.495,47966.0
2025-02-20 15:11:00,245.58,245.58,245.48,245.4869,41452.0
2025-02-20 15:10:00,245.42,245.6,245.41,245.59,39160.0
2025-02-20 15:09:00,245.435,245.435,245.37,245.42,39775.0
2025-02-20 15:08:00,245.41,245.45,245.35,245.44,51114.0
2025-02-20 15:07:00,245.571,245.575,245.41,245.41,47920.0
2025-02-20 15:06:00,245.5207,245.6,245.4602,245.5751,54709.0
2025-02-20 15:05:00,245.49,245.56,245.48,245.52,36287.0
2025-02-20 15:04:00,245.39,245.5,245.39,245.49,19540.0
2025-02-20 15:03:00,245.42,245.47,245.39,245.39,30541.0
2025-02-20 15:02:00,245.39,245.4302,245.38,245.42,22748.0
2025-02-20 15:01:00,245.315,245.43,245.305,245.39,19516.0
2025-02-20 15:00:00,245.33,245.385,245.2724,245.32,25908.0
2025-02-20 14:59:00,245.5159,245.5159,245.32,245.335,37418.0
2025-02-20 14:58:00,245.465,245.52,245.45,245.5001,39845.0
2025-02-20 14:57:00,245.48,245.52,245.465,245.465,35820.0
2025-02-20 14:56:00,245.46,245.5,245.455,245.47,26045.0
2025-02-20 14:55:00,245.49,245.495,245.405,245.47,41419.0
2025-02-20 14:54:00,245.43,245.5,245.41,245.49,30433.0
2025-02-20 14:53:00,245.44,245.475,245.39,245.45,29671.0
2025-02-20 14:52:00,245.57,245.58,245.43,245.45,48154.0
2025-02-20 14:51:00,245.63,245.66,245.55,245.57,41391.0
2025-02-20 14:50:00,245.54,245.75,245.54,245.65,62533.0
2025-02-20 14:49:00,245.54,245.56,245.51,245.5399,34699.0
2025-02-20 14:48:00,245.39,245.56,245.3893,245.54,51336.0
2025-02-20 14:47:00,245.33,245.45,245.33,245.39,35687.0
2025-02-20 14:46:00,245.29,245.35,245.265,245.33,25605.0
2025-02-20 14:45:00,245.241,245.31,245.2,245.29,34722.0
2025-02-20 14:44:00,245.22,245.25,245.16,245.25,27472.0
2025-02-20 14:43:00,245.1462,245.25,245.115,245.22,37331.0
2025-02-20 14:42:00,245.02,245.17,245.02,245.14,51359.0
2025-02-20 14:41:00,244.9709,245.04,244.93,245.0302,30857.0
2025-02-20 14:40:00,244.97,244.99,244.91,244.98,28849.0
2025-02-20 14:39:00,244.96,245.015,244.94,244.98,23769.0
2025-02-20 14:38:00,245.04,245.05,244.92,244.97,34971.0
2025-02-20 14:37:00,245.005,245.0998,245.0,245.035,32909.0
2025-02-20 14:36:00,244.98,245.01,244.85,245.005,35720.0
2025-02-20 14:35:00,244.99,245.0,244.865,244.9799,53940.0
2025-02-20 14:34:00,245.03,245.03,244.97,244.98,31851.0
2025-02-20 14:33:00,245.055,245.06,244.985,245.03,57373.0
2025-02-20 14:32:00,245.15,245.1599,245.05,245.055,52345.0
2025-02-20 14:31:00,245.18,245.26,245.1505,245.1505,29340.0
2025-02-20 14:30:00,245.255,245.255,245.14,245.18,31019.0
2025-02-20 14:29:00,245.3,245.315,245.21,245.255,36486.0
2025-02-20 14:28:00,245.29,245.38,245.29,245.31,27548.0
2025-02-20 14:27:00,245.44,245.44,245.3,245.3,28849.0
2025-02-20 14:26:00,245.26,245.45,245.26,245.45,27259.0
2025-02-20 14:25:00,245.36,245.37,245.2,245.27,46425.0
2025-02-20 14:24:00,245.45,245.46,245.34,245.355,51302.0
2025-02-20 14:23:00,245.49,245.535,245.45,245.45,33654.0
2025-02-20 14:22:00,245.46,245.505,245.455,245.5,20544.0
2025-02-20 14:21:00,245.48,245.515,245.46,245.47,23729.0
2025-02-20 14:20:00,245.56,245.58,245.46,245.47,56772.0
2025-02-20 14:19:00,245.48,245.57,245.47,245.56,30684.0
2025-02-20 14:18:00,245.46,245.51,245.44,245.49,20163.0
2025-02-20 14:17:00,245.4,245.47,245.4,245.45,14408.0
2025-02-20 14:16:00,245.4101,245.518,245.385,245.39,47998.0
2025-02-20 14:15:00,245.445,245.47,245.41,245.41,23942.0
2025-02-20 14:14:00,245.44,245.47,245.4,245.4411,28325.0
2025-02-20 14:13:00,245.3699,245.47,245.35,245.43,28567.0
2025-02-20 14:12:00,245.29,245.44,245.275,245.37,34975.0
2025-02-20 14:11:00,245.3451,245.36,245.2725,245.2899,22125.0
2025-02-20 14:10:00,245.27,245.395,245.255,245.35,32841.0
2025-02-20 14:09:00,245.29,245.3,245.25,245.26,20499.0
2025-02-20 14:08:00,245.37,245.41,245.305,245.305,32432.0
2025-02-20 14:07:00,245.34,245.38,245.29,245.375,29248.0
2025-02-20 14:06:00,245.295,245.39,245.29,245.35,25308.0
2025-02-20 14:05:00,245.25,245.35,245.25,245.29,22255.0
2025-02-20 14:04:00,245.205,245.27,245.2,245.23,14746.0
2025-02-20 14:03:00,245.2601,245.27,245.17,245.1901,24503.0
2025-02-20 14:02:00,245.38,245.38,245.27,245.28,21853.0
2025-02-20 14:01:00,245.38,245.45,245.38,245.4,22944.0
2025-02-20 14:00:00,245.33,245.4156,245.31,245.395,24240.0
2025-02-20 13:59:00,245.43,245.4853,245.34,245.3506,26503.0
2025-02-20 13:58:00,245.36,245.45,245.32,245.39,37307.0
2025-02-20 13:57:00,245.28,245.3905,245.24,245.35,36047.0
2025-02-20 13:56:00,245.2,245.33,245.18,245.28,23197.0
2025-02-20 13:55:00,245.27,245.28,245.17,245.19,19903.0
2025-02-20 13:54:00,245.17,245.28,245.165,245.2799,29600.0
2025-02-20 13:53:00,245.165,245.1993,245.13,245.17,25225.0
2025-02-20 13:52:00,245.21,245.24,245.16,245.16,21374.0
2025-02-20 13:51:00,245.055,245.25,245.055,245.24,26459.0
2025-02-20 13:50:00,245.16,245.18,245.02,245.05,44115.0
2025-02-20 13:49:00,245.145,245.35,245.1101,245.15,56310.0
2025-02-20 13:48:00,245.305,245.3282,245.115,245.14,43365.0
2025-02-20 13:47:00,245.34,245.38,245.3,245.305,23049.0
2025-02-20 13:46:00,245.32,245.3799,245.3,245.34,39739.0
2025-02-20 13:45:00,245.44,245.44,245.25,245.33,41964.0
2025-02-20 13:44:00,245.33,245.48,245.3,245.45,23778.0
2025-02-20 13:43:00,245.39,245.42,245.3193,245.335,28431.0
2025-02-20 13:42:00,245.265,245.4325,245.22,245.38,29412.0
2025-02-20 13:41:00,245.315,245.32,245.2,245.266,38774.0
2025-02-20 13:40:00,245.41,245.43,245.31,245.3193,35741.0
2025-02-20 13:39:00,245.44,245.4456,245.3947,245.41,20234.0
2025-02-20 13:38:00,245.42,245.51,245.37,245.44,29137.0
2025-02-20 13:37:00,245.51,245.55,245.4198,245.4198,24568.0
2025-02-20 13:36:00,245.515,245.59,245.49,245.51,26350.0
2025-02-20 13:35:00,245.54,245.58,245.4997,245.515,20381.0
2025-02-20 13:34:00,245.47,245.57,245.46,245.54,17253.0
2025-02-20 13:33:00,245.4799,245.55,245.44,245.465,32230.0
2025-02-20 13:32:00,245.5,245.5,245.45,245.48,31844.0
2025-02-20 13:31:00,245.48,245.5,245.3903,245.5,28403.0
2025-02-20 13:30:00,245.44,245.5299,245.41,245.4802,35934.0
2025-02-20 13:29:00,245.38,245.48,245.34,245.445,18122.0
2025-02-20 13:28:00,245.44,245.459,245.38,245.39,28519.0
2025-02-20 13:27:00,245.42,245.5,245.42,245.4489,26957.0
2025-02-20 13:26:00,245.3848,245.4365,245.38,245.42,39792.0
2025-02-20 13:25:00,245.38,245.46,245.33,245.38,22986.0
2025-02-20 13:24:00,245.3194,245.385,245.31,245.385,24488.0
2025-02-20 13:23:00,245.45,245.45,245.225,245.31,50512.0
2025-02-20 13:22:00,245.4183,245.505,245.41,245.4501,20283.0
2025-02-20 13:21:00,245.4999,245.52,245.36,245.43,57850.0
2025-02-20 13:20:00,245.63,245.64,245.4,245.5057,44775.0
2025-02-20 13:19:00,245.6,245.7,245.6,245.64,44196.0
2025-02-20 13:18:00,245.59,245.61,245.54,245.6,32351.0
2025-02-20 13:17:00,245.51,245.59,245.48,245.58,32418.0
2025-02-20 13:16:00,245.64,245.66,245.5,245.519,28703.0
2025-02-20 13:15:00,245.76,245.79,245.64,245.645,84697.0
2025-02-20 13:14:00,245.76,245.8178,245.745,245.77,24412.0
2025-02-20 13:13:00,245.6516,245.77,245.64,245.76,38941.0
2025-02-20 13:12:00,245.755,245.77,245.65,245.65,34321.0
2025-02-20 13:11:00,245.74,245.763,245.69,245.76,23943.0
2025-02-20 13:10:00,245.66,245.815,245.6,245.73,35845.0
2025-02-20 13:09:00,245.58,245.69,245.5601,245.67,33463.0
2025-02-20 13:08:00,245.44,245.6,245.44,245.5883,52156.0
2025-02-20 13:07:00,245.4,245.49,245.38,245.45,60883.0
2025-02-20 13:06:00,245.42,245.44,245.31,245.405,39161.0
2025-02-20 13:05:00,245.32,245.45,245.31,245.4402,19927.0
2025-02-20 13:04:00,245.37,245.44,245.34,245.34,37125.0
2025-02-20 13:03:00,245.21,245.385,245.1973,245.37,49231.0
2025-02-20 13:02:00,245.23,245.2891,245.16,245.205,47824.0
2025-02-20 13:01:00,245.375,245.46,245.19,245.235,56668.0
2025-02-20 13:00:00,245.369,245.465,245.3107,245.38,38894.0
2025-02-20 12:59:00,245.38,245.475,245.35,245.36,42470.0
2025-02-20 12:58:00,245.43,245.44,245.34,245.4,26952.0
2025-02-20 12:57:00,245.39,245.5,245.38,245.42,18392.0
2025-02-20 12:56:00,245.44,245.47,245.36,245.38,58017.0
2025-02-20 12:55:00,245.52,245.58,245.4301,245.4597,31006.0
2025-02-20 12:54:00,245.6794,245.775,245.54,245.54,33478.0
2025-02-20 12:53:00,245.74,245.8,245.67,245.68,30486.0
2025-02-20 12:52:00,245.855,245.888,245.7104,245.75,25442.0
2025-02-20 12:51:00,245.71,245.86,245.67,245.86,27944.0
2025-02-20 12:50:00,245.67,245.79,245.67,245.73,35533.0
2025-02-20 12:49:00,245.84,245.845,245.6201,245.655,33312.0
2025-02-20 12:48:00,245.92,245.93,245.76,245.8247,35335.0
2025-02-20 12:47:00,245.9501,245.975,245.9078,245.935,57329.0
2025-02-20 12:46:00,245.9085,245.99,245.9085,245.95,20822.0
2025-02-20 12:45:00,245.9,245.915,245.85,245.9,22522.0
2025-02-20 12:44:00,245.825,245.97,245.7612,245.92,38167.0
2025-02-20 12:43:00,245.57,245.87,245.54,245.82,40514.0
2025-02-20 12:42:00,245.74,245.75,245.51,245.57,64022.0
2025-02-20 12:41:00,245.7862,245.85,245.72,245.7439,22470.0
2025-02-20 12:40:00,245.7802,245.9,245.75,245.81,28981.0
2025-02-20 12:39:00,245.74,245.885,245.72,245.8022,46952.0
2025-02-20 12:38:00,245.94,245.975,245.72,245.74,51033.0
2025-02-20 12:37:00,246.2,246.2,245.91,245.94,52040.0
2025-02-20 12:36:00,246.19,246.3,246.18,246.2099,27453.0
2025-02-20 12:35:00,246.17,246.21,246.17,246.19,19731.0
2025-02-20 12:34:00,246.265,246.3,246.14,246.15,47739.0
2025-02-20 12:33:00,246.3,246.3,246.24,246.25,28236.0
2025-02-20 12:32:00,246.305,246.3175,246.15,246.28,59082.0
2025-02-20 12:31:00,246.365,246.37,246.31,246.31,33042.0
2025-02-20 12:30:00,246.37,246.42,246.322,246.365,40175.0
2025-02-20 12:29:00,246.355,246.46,246.32,246.38,218422.0
2025-02-20 12:28:00,246.365,246.38,246.29,246.3501,40441.0
2025-02-20 12:27:00,246.25,246.39,246.23,246.3601,52383.0
2025-02-20 12:26:00,246.227,246.31,246.2,246.25,60148.0
2025-02-20 12:25:00,246.18,246.255,246.13,246.2256,39014.0
2025-02-20 12:24:00,246.2099,246.22,246.16,246.19,36854.0
2025-02-20 12:23:00,246.18,246.22,246.15,246.21,42591.0
2025-02-20 12:22:00,246.23,246.25,246.09,246.19,53594.0
2025-02-20 12:21:00,246.23,246.315,246.22,246.25,37038.0
2025-02-20 12:20:00,246.285,246.2999,246.18,246.235,69404.0
2025-02-20 12:19:00,246.29,246.39,246.23,246.27,77938.0
2025-02-20 12:18:00,246.25,246.36,246.2,246.2802,59997.0
2025-02-20 12:17:00,246.14,246.28,246.13,246.24,87498.0
2025-02-20 12:16:00,246.09,246.17,246.09,246.15,47719.0
2025-02-20 12:15:00,246.18,246.19,246.05,246.1,89798.0
2025-02-20 12:14:00,246.005,246.19,245.97,246.18,96116.0
2025-02-20 12:13:00,245.8,246.03,245.767,246.005,77285.0
2025-02-20 12:12:00,245.8088,245.95,245.8,245.8,54531.0
2025-02-20 12:11:00,245.71,245.89,245.71,245.805,60524.0
